epoch 006 | train loss 0.3529 | val acc 0.8668 | val nll 0.3702 | val ece 0.0373
epoch 007 | train loss 0.3405 | val acc 0.8780 | val nll 0.3413 | val ece 0.0327
epoch 008 | train loss 0.3191 | val acc 0.8814 | val nll 0.3372 | val ece 0.0337
epoch 009 | train loss 0.3015 | val acc 0.8817 | val nll 0.3392 | val ece 0.0360
epoch 010 | train loss 0.2943 | val acc 0.8850 | val nll 0.3245 | val ece 0.0327
epoch 011 | train loss 0.2810 | val acc 0.8900 | val nll 0.3119 | val ece 0.0343
epoch 012 | train loss 0.2704 | val acc 0.8906 | val nll 0.3118 | val ece 0.0318
epoch 013 | train loss 0.2618 | val acc 0.8894 | val nll 0.3188 | val ece 0.0356
epoch 014 | train loss 0.2566 | val acc 0.8957 | val nll 0.2984 | val ece 0.0323
epoch 015 | train loss 0.2475 | val acc 0.8948 | val nll 0.3007 | val ece 0.0334
epoch 016 | train loss 0.2389 | val acc 0.8979 | val nll 0.2888 | val ece 0.0334
epoch 017 | train loss 0.2320 | val acc 0.8995 | val nll 0.2828 | val ece 0.0298
epoch 018 | train loss 0.2255 | val acc 0.8980 | val nll 0.2906 | val ece 0.0337
epoch 019 | train loss 0.2232 | val acc 0.8960 | val nll 0.2910 | val ece 0.0331
epoch 020 | train loss 0.2133 | val acc 0.9023 | val nll 0.2740 | val ece 0.0316
epoch 021 | train loss 0.2077 | val acc 0.9028 | val nll 0.2751 | val ece 0.0302
epoch 022 | train loss 0.2045 | val acc 0.9013 | val nll 0.2830 | val ece 0.0367
epoch 023 | train loss 0.2021 | val acc 0.9039 | val nll 0.2720 | val ece 0.0322
epoch 024 | train loss 0.1967 | val acc 0.9044 | val nll 0.2768 | val ece 0.0343
epoch 025 | train loss 0.1962 | val acc 0.9040 | val nll 0.2778 | val ece 0.0352
epoch 026 | train loss 0.1904 | val acc 0.9057 | val nll 0.2717 | val ece 0.0333
epoch 027 | train loss 0.1858 | val acc 0.9074 | val nll 0.2656 | val ece 0.0337
epoch 028 | train loss 0.1791 | val acc 0.9066 | val nll 0.2687 | val ece 0.0338
epoch 029 | train loss 0.1768 | val acc 0.9085 | val nll 0.2659 | val ece 0.0334
epoch 030 | train loss 0.1718 | val acc 0.9013 | val nll 0.2796 | val ece 0.0328
epoch 031 | train loss 0.1682 | val acc 0.9090 | val nll 0.2583 | val ece 0.0316
epoch 032 | train loss 0.1719 | val acc 0.9093 | val nll 0.2565 | val ece 0.0309
epoch 033 | train loss 0.1641 | val acc 0.9076 | val nll 0.2597 | val ece 0.0318
epoch 034 | train loss 0.1599 | val acc 0.9111 | val nll 0.2557 | val ece 0.0313
epoch 035 | train loss 0.1594 | val acc 0.9107 | val nll 0.2591 | val ece 0.0349
epoch 036 | train loss 0.1581 | val acc 0.9129 | val nll 0.2533 | val ece 0.0331
epoch 037 | train loss 0.1524 | val acc 0.9119 | val nll 0.2504 | val ece 0.0319
epoch 038 | train loss 0.1521 | val acc 0.9099 | val nll 0.2590 | val ece 0.0315
epoch 039 | train loss 0.1499 | val acc 0.9094 | val nll 0.2620 | val ece 0.0342
epoch 040 | train loss 0.1476 | val acc 0.9092 | val nll 0.2608 | val ece 0.0314
epoch 041 | train loss 0.1458 | val acc 0.9142 | val nll 0.2509 | val ece 0.0332
